Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;1876,63;2530,42;2254,45;1912,29;749,41;1307,74;1898,23;1501,34;2302,71;1652,05;1710,94;1516,32;
Banten;8501,75;8300,98;6139,63;3772,95;2069,43;2970,06;3359,93;3633,78;3707,28;5172,79;5096,37;6843,54;
Daerah Istimewa Yogyakarta;8517,22;7617,99;7393,56;5584,81;4302,38;5365,03;7389,95;7856,26;9500,07;7825,42;7610,58;7410,89;
Jambi;481471,86;574528,30;671354,85;580426,73;397914,41;452334,42;572201,38;558080,68;602845,13;552894,13;487585,04;525693,22;
Jawa Tengah;231313,69;221419,92;238616,99;210652,32;207671,07;215637,05;224777,14;203798,94;244799,18;241058,00;228885,83;218850,43;
Jawa Timur;325648,58;339384,78;337770,50;305679,48;197511,07;318755,63;328997,69;310838,16;384458,26;367610,22;352393,88;331969,29;
Kalimantan Barat;80281,95;66676,12;89804,37;79560,70;67399,42;79789,64;87379,52;64673,27;57721,78;68579,70;66212,59;76335,84;
Kalimantan Selatan;14206,29;16072,44;33669,44;31122,79;7515,77;16743,19;24982,55;32594,39;34559,10;43655,13;36386,41;44733,38;
Kalimantan Tengah;334984,98;288155,46;281447,74;245756,19;270921,67;229130,61;221967,71;239420,41;257219,59;265346,89;283980,13;182304,21;
Kalimantan Timur;422376,02;363462,79;391546,20;428379,83;421368,23;439915,85;379419,55;359978,05;367266,14;454149,99;385325,77;376759,25;
Kalimantan Utara;99542,89;75959,29;91498,51;114420,46;103963,09;112629,58;115658,60;97884,48;108453,13;98673,74;94492,93;99832,96;
Lampung;48170,38;44502,94;49820,12;43732,47;29380,59;50380,73;56010,11;65225,57;56474,84;53871,42;45943,65;44911,27;
Papua;26966,70;34337,53;43773,20;38939,57;36607,19;37224,81;33702,83;50716,83;49301,45;48711,81;49267,31;38135,29;
Riau;1595851,64;2101661,43;2254758,11;2113606,08;1677451,08;1438274,53;1963865,42;2149577,02;2174093,54;2153093,37;2025410,16;1896725,25;
Sulawesi Selatan;9257,91;11210,44;10607,32;9230,41;5701,68;10828,37;12128,70;8206,27;8788,91;8911,61;7990,79;8559,94;
Sumatera Barat;10184,00;15279,60;8737,46;6750,07;6351,93;6648,08;10796,93;6944,23;14775,38;1965,73;479,12;805,01;
Sumatera Selatan;745969,54;849154,10;970573,32;890267,64;682858,83;609080,68;853847,32;1034107,70;1050784,85;1001545,48;870558,84;779820,15;
Sumatera Utara;183418,87;216151,25;219567,84;216110,12;180929,48;203252,71;238447,73;216427,85;197693,97;194164,01;170362,59;137130,49;
