Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;;;;;;;;;;;;;;;;;;;;;;;;
Bali;4928,13;4969,05;4863,67;4907,96;3381,17;4545,17;4548,84;5210,80;4346,96;4016,35;5477,69;3383,66;54579,46;;;;;;;;;;;;;;;;;;;;;;;
Banten;7290,08;7713,07;7643,36;8719,51;7697,91;10280,84;6340,14;7337,71;6958,56;6907,44;4773,88;3350,11;85012,61;;;;;;;;;;;;;;;;;;;;;;;
Daerah Istimewa Yogyakarta;9860,41;8949,10;9769,88;9801,91;4628,72;8920,94;7509,50;7980,34;7349,48;6301,27;6757,87;7326,22;95155,64;;;;;;;;;;;;;;;;;;;;;;;
Jambi;438838,89;466975,15;518621,82;495580,29;379370,03;546321,49;555631,71;544445,69;544575,40;533790,47;512725,67;550688,18;6087564,79;;;;;;;;;;;;;;;;;;;;;;;
Jawa Tengah;293540,91;267600,29;297963,88;294203,26;194237,95;304790,58;279724,36;272368,30;238841,18;216818,92;245415,09;226868,99;3132373,71;;;;;;;;;;;;;;;;;;;;;;;
Jawa Timur;410638,84;369323,04;397787,57;363055,91;267781,55;413822,64;384385,69;373981,68;331041,95;300255,58;303991,37;321742,03;4237807,85;;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Barat;95746,51;98538,58;108473,63;98299,53;57328,21;84160,52;97970,23;94100,93;112484,31;78944,56;102679,44;107959,19;1136685,64;;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Selatan;20911,60;13363,84;16990,10;13595,65;13040,66;16446,77;14363,68;20325,38;13295,79;14906,97;24616,71;16854,49;198711,64;;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Tengah;210302,26;225966,66;263199,94;257258,37;227083,41;265031,85;278814,80;256512,56;272857,39;265924,27;239021,56;191874,13;2953847,20;;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Timur;291304,73;310581,29;355154,67;319426,00;275993,50;390939,17;345842,56;380276,59;346315,09;348265,08;358815,15;364221,55;4087135,39;;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Utara;69.046,54;108.479,00;88.088,27;103.591,27;106.499,83;91.756,85;91.758,06;95.050,78;102.621,03;115.529,92;99.226,16;105.333,33;;;;;;;;;;;;;;;;;;;;;;;;
Lampung;48708,25;50987,56;55858,19;58585,18;41495,56;58106,04;51078,06;49850,70;39468,03;36622,40;37450,36;38670,80;566881,13;;;;;;;;;;;;;;;;;;;;;;;
Papua;31690,84;45389,88;60994,16;44029,80;59096,60;46577,03;52464,10;44122,06;45355,26;48411,45;26905,66;42490,85;547527,68;;;;;;;;;;;;;;;;;;;;;;;
Riau;1850818,86;2089257,53;2321758,18;2014678,63;1297231,88;2262947,64;2326663,65;2221110,60;2166344,97;2082791,65;1963896,06;2078833,70;24676333,35;;;;;;;;;;;;;;;;;;;;;;;
Sulawesi Selatan;9184,78;11286,73;9818,56;10204,05;6820,58;8623,14;6092,72;3815,89;4121,41;5136,69;2286,22;2778,21;80168,99;;;;;;;;;;;;;;;;;;;;;;;
Sumatera Barat;9537,90;13520,50;6044,89;7163,81;13143,58;10141,38;7177,03;5179,17;1964,81;2555,31;3453,29;4652,20;84533,88;;;;;;;;;;;;;;;;;;;;;;;
Sumatera Selatan;879923,86;985359,74;1113416,51;939371,58;664809,24;1028376,16;1100376,42;1074269,83;1029689,46;997549,94;952360,32;977122,86;11742625,92;;;;;;;;;;;;;;;;;;;;;;;
Sumatera Utara;226661,19;265885,17;219878,32;229588,80;210931,52;245727,78;250481,70;226895,56;230101,38;223612,05;208899,33;158728,39;2697391,18;;;;;;;;;;;;;;;;;;;;;;;
