Provinsi;January;February;March;April;May;June;July;August;September;October;November;December
Bali;2358,37;2148,25;2191,34;1663,51;2259,35;1592,41;1478,48;1961,2;1231,52;1227,77;1613,43;882,45
Banten;7433,42;7094,65;8730,4;7870,6;12121,8;12077,18;13820,18;18936,89;13471,16;13588,96;10156,67;9832,84
Daerah Istimewa Yogyakarta;8298,66;7962,91;7871,02;5113,41;9769;9024,96;10208,9;7898,48;9252,68;9347,21;8420,73;8495
Jambi;475802,78;475346,43;582298,76;377276,77;522627,07;481269,75;468772,79;482057,61;453622,79;468843,12;439133,21;460372,08
Jawa Tengah;264095,8;232860;259019,21;186884,35;274086,47;244508,87;284887,22;274118,45;266351,54;300056,4;240343,38;232583,06
Jawa Timur;316409,24;283265,37;319210,77;203810,7;340603,77;303736,35;334704,02;347463,4;334634,99;330983,18;295654,75;251906,86
Kalimantan Barat;95543,45;156943,52;140288,25;84860,27;93525;130269,29;139353,62;162034,43;133342,78;151870,65;154156,26;134333,97
Kalimantan Selatan;37249,06;52237,48;39187,95;47157,06;41388,69;31176,63;44017,58;41764,75;73985,34;70395,13;44580,19;31289,6
Kalimantan Tengah;233724,35;279800,21;266865,6;158206,31;285569,29;271570,58;274329,19;260566,21;283491,59;259226,17;273060,88;263616,35
Kalimantan Timur;396145,23;503172,49;443187,26;493385,15;487721,21;510810,66;451480,29;510316,13;429699,53;399712,33;400754,7;358360,27
Kalimantan Utara;99233,31;123681,9;110241,03;160862,93;183928,95;116262,86;117685,22;89471,96;133568,74;89916,44;100843,49;112531,86
Lampung;52276,97;53301,57;54913,92;30522,63;55109,03;57039,47;60139,85;61394,03;59564,95;61818,33;58624,99;50258,38
Papua;27999,33;20535,44;32113,32;20050,85;33777,27;28237,17;19825,44;29526,9;23393,03;21442,14;43240,62;27731,2
Riau;1291604,75;2084105,14;2630533,1;1566008,07;2297614,55;2278140,16;2430129,19;2196090,54;2203513,68;2153087,3;2001824,67;1740270,55
Sulawesi Selatan;683,04;902,81;977,79;1061,31;2368,86;2360,49;1464,24;2831,9;1354,44;1098,95;2359,46;1662,86
Sumatera Barat;3568,2;5399,29;466,68;9187,93;8735,84;10341,54;4382,67;17417,19;6056,1;13624,12;10774;13384,45
Sumatera Selatan;976810,23;927707,14;889100,02;523729,8;909274,08;1019552,76;1142757,92;1074966,79;1020945,43;1025371,87;1035562,18;1043598,31
Sumatera Utara;123248,57;198446,1;246922,64;192023,83;256281,99;225399;293827,59;267122,65;253216,44;260138,73;235166,48;203688,85
