Provinsi ;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;198.165,23;148.026,86;219.988,23;28.269,71;80.816,03;100.262,53;53.641,01;30.364,33;135.128,84;404.940,25;357.226,78;55.492,13;
Banten;828.238,12;824.920,90;481.494,61;282.893,86;286.004,91;399.170,11;403.695,57;491.516,02;610.504,48;648.946,69;640.122,37;1.155.321,11;
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;0,00;0,00;0,00;1.767,00;359,50;0,00;0,00;67,75;0,00;
Jambi;20.643.011,09;19.840.520,91;22.605.058,71;19.293.859,94;19.797.173,12;19.168.418,54;15.762.131,95;13.902.794,52;13.994.382,68;17.858.349,86;10.678.067,98;7.633.195,13;
Jawa Tengah;133.276.919,36;124.663.484,74;136.299.989,14;116.398.928,30;85.277.747,12;106.707.980,90;123.495.922,83;124.192.019,76;131.803.169,88;141.112.173,56;132.492.286,97;129.212.065,69;
Jawa Timur;202.548.568,81;206.636.187,62;218.761.107,19;196.868.748,32;162.567.465,28;191.719.591,07;202.747.839,98;200.749.572,10;228.363.156,17;226.574.748,31;221.063.125,89;238.547.198,92;
Kalimantan Barat;105.984,23;128.054,29;53.200,21;0,00;0,00;39.524,79;37.472,43;65.952,80;63.396,87;98.316,32;120.148,35;63.168,55;
Kalimantan Selatan;20.552.155,60;25.453.304,36;24.644.166,09;27.092.908,30;17.747.190,85;20.548.369,30;18.268.424,84;18.608.340,10;19.662.624,94;15.040.724,57;21.048.729,22;20.590.375,71;
Kalimantan Tengah;4.916.838,42;4.637.619,77;6.268.468,69;6.667.342,99;4.080.222,25;8.461.951,23;5.138.176,31;2.189.880,72;10.636.076,95;6.742.962,96;5.906.573,26;8.153.986,51;
Kalimantan Timur;17.786.437,16;22.004.539,65;14.805.091,67;25.182.927,12;11.713.939,54;20.153.928,46;20.759.513,27;14.796.185,85;15.238.585,28;18.972.898,35;19.377.055,39;15.316.126,66;
Kalimantan Utara;4.241.844,09;5.701.871,48;4.597.929,82;6.896.381,53;4.955.232,97;5.795.576,37;3.929.339,35;5.347.814,63;3.445.088,05;7.837.937,59;3.987.007,66;5.662.576,57;
Lampung;20.380.816,57;15.641.747,41;16.759.470,28;20.185.856,47;11.550.032,28;16.538.942,76;17.539.605,27;15.796.346,11;17.443.072,23;15.642.159,40;12.591.860,02;16.645.772,79;
Papua;7.832.380,16;4.569.376,68;8.630.297,21;4.673.493,96;6.150.875,92;2.734.160,86;4.916.918,77;10.396.864,06;521.717,65;4.247.207,73;12.786.831,65;6.902.272,79;
Riau;240.112.345,32;247.380.788,27;248.623.604,26;227.877.107,46;240.940.167,29;241.316.482,48;247.628.329,96;232.418.669,79;242.614.529,19;242.940.924,17;230.806.408,78;213.772.562,70;
Sulawesi Selatan;3.638.172,88;3.759.958,37;3.042.994,81;4.760.553,58;3.636.232,37;2.579.969,00;4.310.639,55;1.941.136,11;1.334.341,69;4.560.790,66;1.726.988,51;5.036.136,96;
Sumatera Barat;35.502,34;70.254,80;69.326,79;34.781,32;69.191,39;0,00;65.447,81;35.600,67;0,00;36.267,27;35.596,48;27.377,28;
Sumatera Selatan;97.220.526,33;74.191.002,01;53.441.161,02;108.457.782,30;116.889.018,35;100.912.557,42;116.967.014,52;130.535.655,49;112.160.729,23;124.468.236,71;103.941.351,61;124.336.245,04;
Sumatera Utara;18.512.334,94;19.232.804,39;22.693.474,39;16.758.891,24;18.643.602,61;18.872.338,30;22.377.959,93;20.427.146,51;23.304.737,21;23.189.517,63;19.217.203,28;19.528.073,59;
