Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;9.068,96;12.640,51;49.277,46;5.012,30;18.426,86;19.723,63;24.787,67;42.233,53;16.245,94;15.701,14;8.393,14;11.426,83;
Banten;848.560,65;851.295,78;1.010.833,95;1.145.493,88;1.270.659,68;1.493.234,08;1.449.096,45;3.317.020,92;5.918.194,93;1.212.052,98;1.476.150,66;1.455.302,67;
Daerah Istimewa Yogyakarta;0,00;265,96;0,00;1.180,16;0,00;0,00;192,00;300,00;0,00;0,00;0,00;500,00;
Jambi;7.147.029,33;7.934.828,83;7.413.001,23;6.876.132,32;3.708.904,25;6.370.362,34;5.653.902,97;5.491.302,88;10.023.556,73;17.139.296,35;4.359.316,32;17.262.235,54;
Jawa Tengah;139.149.880,75;141.100.215,49;176.665.902,96;181.387.245,92;121.438.616,54;151.693.422,86;148.660.020,77;171.526.981,98;179.536.504,37;162.689.783,35;189.613.473,12;172.951.952,58;
Jawa Timur;222.910.102,85;252.777.007,33;276.734.549,19;273.090.148,35;236.833.239,06;271.734.167,02;249.495.127,77;250.958.058,31;269.272.710,78;250.604.338,51;291.393.314,81;324.574.611,55;
Kalimantan Barat;76.839,55;157.070,43;207.774,89;135.135,49;181.153,54;322.657,57;190.566,13;5.303.322,29;966.159,97;4.973.764,50;4.713.429,86;5.187.451,35;
Kalimantan Selatan;10.293.279,13;16.424.011,75;19.301.187,26;22.612.644,67;18.119.814,98;28.289.937,66;31.329.062,48;24.684.268,80;30.646.545,09;34.627.953,99;40.195.350,79;46.399.160,37;
Kalimantan Tengah;6.220.053,82;11.416.405,27;3.704.320,77;8.688.466,68;10.897.268,83;9.112.633,96;9.355.426,52;5.749.239,79;5.335.687,12;3.879.195,14;7.343.537,47;9.654.486,20;
Kalimantan Timur;15.210.932,04;17.996.471,13;13.058.524,29;16.091.321,96;26.107.217,56;15.046.013,37;30.062.818,70;27.389.645,74;29.200.975,56;16.751.520,66;46.175.776,59;30.995.596,07;
Kalimantan Utara;3.378.935,53;5.297.197,39;7.645.749,08;5.496.016,22;4.934.049,37;4.906.959,48;4.762.945,41;8.747.195,66;7.343.383,40;7.260.696,70;7.744.763,89;9.210.601,19;
Lampung;16.833.759,21;11.598.748,47;18.394.732,54;13.116.213,92;21.369.016,66;33.350.596,52;21.361.686,16;22.824.487,00;24.092.742,20;18.127.960,53;21.727.877,43;17.849.885,57;
Papua;7.282.403,78;0,00;7.308.442,04;9.548.455,01;17.712.685,15;9.131.156,66;6.335.180,27;2.738.290,37;4.749.936,93;29.994.353,38;10.352.307,75;21.828.453,63;
Riau;247.106.742,55;248.235.454,10;313.787.607,70;297.043.356,91;299.875.383,40;259.526.407,79;276.067.036,24;253.626.573,18;327.985.366,45;297.864.341,11;295.264.977,24;287.139.504,16;
Sulawesi Selatan;2.194.556,86;4.164.496,52;2.966.816,46;2.622.472,67;1.610.937,84;1.030.415,41;1.622.636,67;1.243.537,94;1.945.827,13;1.335.319,83;1.767.165,28;2.659.648,94;
Sumatera Barat;0,00;33.316,42;0,00;35.305,03;0,00;80.169,39;76.055,50;60.354,57;41.014,22;42.563,68;44.230,00;81.390,93;
Sumatera Selatan;111.813.912,14;102.936.176,14;85.270.760,32;122.421.457,13;118.959.256,41;88.312.491,09;134.274.686,73;103.517.993,63;129.913.658,86;102.388.099,41;147.579.914,12;135.374.300,13;
Sumatera Utara;21.829.617,75;19.636.797,62;23.649.443,22;28.487.385,34;18.558.782,11;26.733.334,39;21.251.686,72;27.264.947,24;27.316.418,39;23.821.383,30;24.885.165,77;26.838.203,57;
