Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;356,68;574,68;277,13;353,77;
Banten;46,88;55,58;42,18;60,73;62,42;57,78;140,42;105,12;64,96;112,97;100,26;199,03;
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;0,00;112,31;487,16;637,80;859,75;694,44;745,04;0,00;879,00;
Jambi;773,94;701,90;685,91;760,54;412,97;873,64;943,57;1.213,03;750,73;923,71;965,80;1.086,28;
Jawa Tengah;3.079,86;3.520,49;5.962,15;10.281,88;6.505,51;6.943,06;8.074,28;6.979,94;11.432,80;10.600,33;9.018,62;15.631,08;
Jawa Timur;2.712,03;3.264,82;8.942,85;12.301,67;12.410,38;14.991,64;11.417,37;17.428,44;30.589,57;15.357,00;50.725,30;54.434,79;
Kalimantan Barat;84,49;89,78;117,30;150,21;138,98;242,65;182,58;180,77;315,21;215,47;693,43;540,94;
Kalimantan Selatan;28,83;55,79;237,65;151,70;96,82;393,60;232,95;1.226,26;480,13;117,96;96,50;200,56;
Kalimantan Tengah;2.865,85;1.197,79;3.731,72;3.341,06;1.843,64;6.794,64;4.832,78;9.441,77;38.427,57;38.405,62;22.812,65;88.204,88;
Kalimantan Timur;86,83;109,78;116,63;56,50;53,97;62,61;60,96;68,53;59,83;49,00;50,11;60,09;
Kalimantan Utara;0,00;17,97;29,56;24,78;7,10;5,60;13,46;14,66;48,18;45,16;51,33;0,00;
Lampung;224,67;380,51;1.629,15;1.856,29;281,60;854,37;16.385,57;3.182,79;4.463,35;4.443,49;87.182,81;90.295,84;
Papua;60,00;32,51;36,00;53,00;20,00;220,00;200,00;60,00;2,00;72,73;41,25;126,00;
Riau;256,25;126,44;389,31;298,31;227,10;283,91;276,83;252,85;252,24;264,01;0,00;370,63;
Sulawesi Selatan;200,61;511,89;717,29;583,39;524,86;630,45;642,54;563,46;661,24;761,78;696,43;1.204,26;
Sumatera Barat;522,89;354,67;792,47;70,89;286,11;315,71;354,44;820,08;525,96;673,05;753,22;473,92;
Sumatera Selatan;45,91;244,00;242,35;239,60;212,48;375,09;139,68;130,72;352,25;127,81;297,94;442,67;
Sumatera Utara;763,59;2.873,35;4.683,30;2.982,12;2.293,13;2.044,63;4.152,42;4.373,02;4.244,65;4.247,37;72.519,95;4.236,31;
