Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;;;;;;;;;;;;;;;;;;;
Bali;2.059,47;1.545,27;2.337,58;1.733,00;1.046,32;994,30;1.226,05;1.049,90;1.024,17;1.118,41;2.070,06;1.652,42;;;;;;;;;;;;;;;;;;;
Banten;12.798,27;12.280,87;12.940,88;12.490,94;9.697,78;12.752,82;11.873,42;10.457,50;10.930,52;9.723,52;8.370,18;9.518,55;;;;;;;;;;;;;;;;;;;
Daerah Istimewa Yogyakarta;1.162,14;1.325,06;1.741,76;985,27;774,72;1.188,74;979,90;509,16;739,85;753,21;798,47;1.567,97;;;;;;;;;;;;;;;;;;;
Jambi;364.279,40;258.785,21;448.564,47;418.245,64;415.868,75;449.072,85;460.883,44;412.754,69;465.359,47;458.044,83;424.035,50;436.870,31;;;;;;;;;;;;;;;;;;;
Jawa Tengah;230.954,08;210.404,04;245.722,13;212.556,15;163.863,38;224.034,05;220.066,19;219.931,60;196.585,61;199.805,12;179.907,28;179.861,11;;;;;;;;;;;;;;;;;;;
Jawa Timur;289.721,80;295.229,90;307.105,96;264.232,23;200.638,53;274.438,82;272.554,29;281.710,99;264.587,97;248.527,46;240.125,93;235.246,26;;;;;;;;;;;;;;;;;;;
Kalimantan Barat;19.516,19;17.982,37;22.880,94;18.943,28;17.211,96;20.422,81;19.867,46;19.490,97;17.578,34;14.698,87;14.372,11;11.925,00;;;;;;;;;;;;;;;;;;;
Kalimantan Selatan;45.064,08;39.461,30;50.826,88;37.241,20;34.341,95;40.947,47;36.408,68;35.671,53;33.325,56;29.798,79;29.193,12;35.259,59;;;;;;;;;;;;;;;;;;;
Kalimantan Tengah;91.840,66;105.034,77;110.386,92;113.937,47;73.272,62;117.795,26;118.004,56;99.359,14;96.706,51;109.420,79;76.678,13;56.430,00;;;;;;;;;;;;;;;;;;;
Kalimantan Timur;69.613,27;55.500,85;60.783,87;56.463,69;28.048,06;42.316,25;49.882,09;57.059,34;47.742,17;43.179,95;51.820,40;49.249,89;;;;;;;;;;;;;;;;;;;
Kalimantan Utara;8.393,74;7.655,23;7.959,18;10.159,27;8.830,98;12.197,50;10.357,86;10.435,58;9.890,06;8.840,32;9.449,85;8.360,90;;;;;;;;;;;;;;;;;;;
Lampung;22.394,62;21.239,46;29.659,13;24.271,75;23.249,18;27.027,09;23.383,40;22.686,70;14.784,60;14.753,13;14.227,66;13.474,01;;;;;;;;;;;;;;;;;;;
Papua;29.679,61;29.261,12;38.928,25;37.249,05;26.946,88;39.058,97;33.858,16;39.575,97;30.696,18;19.697,69;18.493,26;16.404,34;;;;;;;;;;;;;;;;;;;
Riau;2.212.386,20;2.215.120,91;2.475.683,09;2.167.043,72;1.913.594,36;2.347.414,49;2.410.041,09;2.355.202,96;2.347.029,87;2.450.057,35;2.321.728,97;2.359.059,63;;;;;;;;;;;;;;;;;;;
Sulawesi Selatan;12.945,42;11.621,15;12.220,70;13.185,18;9.090,94;3.870,59;9.687,22;5.672,89;3.462,03;5.773,61;764,03;1.847,15;;;;;;;;;;;;;;;;;;;
Sumatera Barat;1.902,57;1.376,24;2.228,80;1.040,76;78,47;33,76;49,05;73,00;359,21;38,02;222,91;240,33;;;;;;;;;;;;;;;;;;;
Sumatera Selatan;994.609,67;1.042.744,25;1.242.773,15;1.214.884,97;788.721,13;1.200.049,62;1.245.629,49;1.222.807,94;1.105.692,52;1.175.934,49;1.121.718,13;1.240.906,19;;;;;;;;;;;;;;;;;;;
Sumatera Utara;164.787,67;169.241,84;178.819,29;179.278,63;161.725,65;142.554,70;186.875,35;166.393,59;159.910,96;152.448,58;147.080,52;144.124,40;;;;;;;;;;;;;;;;;;;
