Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;;;;;;;;;;;;;;;;;;;;;;
Bali;853,49;1.972,48;1.581,58;1.387,38;1.608,55;1.884,71;1.625,91;1.468,47;1.824,34;1.804,46;1.529,23;1.497,93;;;;;;;;;;;;;;;;;;;;;;
Banten;9.081,86;8.180,41;9.396,33;7.344,89;10.909,59;9.980,63;11.799,59;12.308,76;12.224,41;9.446,88;9.053,31;5.578,37;;;;;;;;;;;;;;;;;;;;;;
Daerah Istimewa Yogyakarta;1.637,23;1.682,28;2.538,63;1.526,73;1.189,74;1.155,58;1.147,44;1.397,38;1.827,64;2.145,88;1.615,06;1.494,41;;;;;;;;;;;;;;;;;;;;;;
Jambi;439.572,11;421.045,09;474.517,25;431.887,57;286.091,27;480.214,87;439.949,71;411.141,71;465.535,12;346.712,82;460.639,73;440.905,98;;;;;;;;;;;;;;;;;;;;;;
Jawa Tengah;202.100,86;190.689,95;196.711,58;145.534,65;200.246,63;193.685,47;220.096,83;219.955,84;226.224,51;228.285,31;210.441,75;199.079,47;;;;;;;;;;;;;;;;;;;;;;
Jawa Timur;246.299,73;225.590,42;258.530,24;177.012,02;245.937,08;247.693,19;270.901,69;277.201,22;274.153,14;278.963,25;268.820,32;243.516,84;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Barat;11.521,48;12.222,58;11.807,57;6.524,95;10.084,69;9.115,57;12.869,38;7.103,41;10.335,78;11.377,55;10.697,63;7.408,44;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Selatan;25.767,86;21.031,99;25.413,59;18.090,77;29.590,15;28.743,92;34.711,08;42.828,41;35.492,07;43.792,88;44.254,49;38.642,03;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Tengah;87.845,45;80.403,02;103.874,83;76.622,69;98.473,15;101.070,82;119.015,20;105.657,35;101.806,68;120.888,52;108.654,30;106.821,05;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Timur;57.741,15;52.295,66;58.522,10;60.891,72;54.116,62;55.808,97;52.531,48;48.537,05;54.383,63;53.626,56;47.985,58;62.950,84;;;;;;;;;;;;;;;;;;;;;;
Kalimantan Utara;10.040,54;9.374,47;9.454,64;7.118,65;9.561,66;8.691,95;9.462,40;9.376,07;10.966,56;11.620,10;12.141,19;12.072,35;;;;;;;;;;;;;;;;;;;;;;
Lampung;25.822,35;20.527,84;20.058,54;15.271,49;24.395,84;23.471,03;25.540,92;25.904,00;18.622,00;21.974,70;22.729,01;21.929,33;;;;;;;;;;;;;;;;;;;;;;
Papua;14.497,16;17.665,83;16.748,22;10.800,86;18.149,84;17.324,05;20.309,94;23.214,76;21.639,71;19.652,83;19.860,33;15.580,71;;;;;;;;;;;;;;;;;;;;;;
Riau;2.429.586,23;2.194.968,84;2.524.850,62;2.455.850,99;2.536.581,36;2.482.856,16;2.488.600,73;2.721.565,64;2.541.533,00;2.757.507,77;2.615.035,25;2.756.653,73;;;;;;;;;;;;;;;;;;;;;;
Sulawesi Selatan;2.756,20;495,19;692,38;505,02;408,94;922,98;145,37;530,68;732,20;528,34;613,00;547,32;;;;;;;;;;;;;;;;;;;;;;
Sumatera Barat;726,35;325,17;316,04;300,16;456,24;495,56;305,56;354,55;270,51;117,95;125,09;52,20;;;;;;;;;;;;;;;;;;;;;;
Sumatera Selatan;1.111.174,00;760.313,18;1.324.732,00;1.237.009,70;1.229.202,85;1.251.257,20;1.298.132,57;1.292.489,30;1.267.713,15;1.069.345,80;973.407,63;1.129.453,05;;;;;;;;;;;;;;;;;;;;;;
Sumatera Utara;134.645,27;64.266,29;108.168,85;151.053,20;184.283,28;170.355,51;183.029,92;163.830,55;165.164,37;171.357,05;159.742,12;67.939,16;;;;;;;;;;;;;;;;;;;;;;
